captainName,rank,nationality,company,Image
Melville van Carnbee,Kapitein,Dutch,MAR,assets/img/Melvill_van_Carnbee.jpg
A Scott,Captain,British,RN,
Hoogenhouck Fullekes,LtZ-1,Dutch,,
J.F. Klomp,Kapitein,Dutch,,
DOMINGO BONECHEA,CAPITAN,Spanish,,
Jacobus Buijs,KtZ,Dutch,,
Ambrose Reddell,Captain,British,RN,
MIGUEL MONTEMAYOR,TENIENTE,Spanish,,
William Brereton,Captain,British,RN,
MANUEL LPEZ BRAVO,CAPITAN,Spanish,,
L.J. Wilhelmie,,Dutch,,
Thomas Twysden,Captain,British,RN,
S. van de Koppel,Kapitein,Dutch,"H. v. Rijckevorsel, Rotterdam",
A. Plug,Kapitein,Dutch,,
J.P.D. Scheidius,officier/gezagvoerder/pas,French,MAR,
W.L. Veerman,Luitenant 2e kl.,Dutch,ADM,
ANTONIO DE CORDOBA,CAPITAN,Spanish,,
Christopher Atkins,Captain,British,RN,
Pieter Jacob Gervais,Kapitein,Dutch,ADM,
Edward Osborn,Captain,British,RN,
Osterloo,Kapitein,Dutch,ADM,
de Secquille,Cdt.,French,,
Julian Legge,Captain,British,RN,
J.L. Bosch,Kapitein,Dutch,ADM,
Luis Antonio de Musquez,Capitan,Spanish,,
Digby Dent,Captain,British,RN,assets/img/Digby_Dent.jpg
JUAN TOMASCO(?),CAPITAN,Spanish,,
S. Delclisus,Kapitein,Dutch,,
FCO. GIL Y LEMOS,CAPITAN,Spanish,,
William Compton,Captain,British,RN,assets/img/William_Compton.jpg
A.H.C. Staringh,Kapitein,Dutch,ADM,
J.M. Poldens,KtZ,Dutch,ADM,
James Shirley,Captain,British,RN,
L.H. van Oijen,Kapitein,Dutch,ADM,
JOSE GRANDELLANA,TENIENTE DE NAVIO,Spanish,,
Dick Gamage,Captain,British,EIC,
Olfert Michielsen,,Dutch,MCC,
C. van Gennep,Kapitein,Dutch,ADM,
Thomas Burnett,Captain,British,RN,
LUIS FCO. VARONA,CAPITAN,Spanish,,
William Woodbridge,Captain,British,RN,
Richard Hughes,Captain,British,RN,
JOSEPH DE LA SOMAGIA,CAPITAN,Spanish,,
Nicholas Vincent,Captain,British,RN,
FRANCISCO BANZES,BRIGADIER,Spanish,,
Bruhn,Kapitein,Dutch,MER,
H. de Rijn,Kapitein,Dutch,,
Thomas Hayward,Captain,British,RN,
M. De Remond,Cdt.,French,,
H. Barbier,LtZ,Dutch,MER,
FRANCISCO DE MEDINA,COMANDANTE,Spanish,,
James Agassiz,Captain,British,RN,
Samuel Osborn,Captain,British,RN,
James Walter,Captain,British,EIC,
M. Du Rouzet,Cdt.,French,,
Aron Vogelsang,Kapitein,Dutch,ADM,
Jan Bloem,Kapitein,Dutch,,
FELIPE GONZALEZ,COMANDANTE,Spanish,,
George Pocock,Captain,British,RN,assets/img/george_pocock.jpg
H.Z.A. Guinoseau,Kapitein,Dutch,MAR,
William Merrick,Captain,British,RN,
Albertus Delvos,Kapitein,Dutch,ADM,
Felix de la Palisse,Cdt.,French,,
James Pigott,Captain,British,RN,
JOS_ SOMALIA,CAPITAN,Spanish,,
