seaIce,airTemp,gusts,thunder,snow,longitude,date,windSpeed,fog,locationID,rain,sst,latitude,pressure,voyageID,windDirection,hail
False,-1,False,False,False,-8.83333,1784-10-10 13:00,13.1000004,False,57232,False,-1,46.3833,-1,1175,113,False
False,-1,False,False,False,-11.75,1784-10-11 13:00,9.30000019,False,57233,False,-1,44.4,-1,1175,225,False
False,-1,False,False,False,-14.65,1784-10-12 13:00,9.30000019,False,57234,False,-1,42.3333,-1,1175,113,False
False,-1,False,False,False,-15.4667,1784-10-13 13:00,4.5999999,False,57235,False,-1,41.2167,-1,1175,90,False
False,-1,False,False,False,-17.3,1784-10-14 13:00,6.69999981,False,57236,False,-1,39.6667,-1,1175,23,False
False,-1,False,False,False,-19.6667,1784-10-15 13:00,12.3000002,False,57237,False,-1,39.4833,-1,1175,360,False
False,-1,False,False,False,-22.9167,1784-10-16 14:00,12.3000002,False,57238,False,-1,34.8333,-1,1175,23,False
False,-1,False,False,False,-24.2167,1784-10-17 14:00,9.30000019,False,57239,False,-1,32.4,-1,1175,293,False
False,-1,False,False,False,-25.9833,1784-10-18 14:00,-1,False,57240,False,-1,30.6167,-1,1175,338,False
False,-1,False,False,False,-27.0,1784-10-19 14:00,4.5999999,False,57241,False,-1,29.8333,-1,1175,338,False
False,-1,False,False,False,-29.6667,1784-10-21 14:00,-1,False,57242,False,-1,28.2833,-1,1175,135,False
False,-1,False,False,False,-32.0,1784-10-22 14:00,-1,False,57243,False,-1,27.2333,-1,1175,135,False
False,-1,False,False,False,-34.3667,1784-10-23 14:00,12.3000002,False,57244,False,-1,25.8,-1,1175,135,False
False,-1,False,False,False,-36.0667,1784-10-24 14:00,12.3000002,False,57245,False,-1,24.4833,-1,1175,68,False
False,-1,False,False,False,-39.4667,1784-10-25 15:00,12.3000002,False,57246,False,-1,23.3,-1,1175,135,False
False,-1,False,False,False,-42.2167,1784-10-26 15:00,6.69999981,False,57247,False,-1,22.0833,-1,1175,90,False
False,-1,False,False,False,-45.1167,1784-10-27 15:00,6.69999981,False,57248,False,-1,21.8833,-1,1175,90,False
False,-1,False,False,False,-47.9167,1784-10-28 15:00,6.69999981,False,57249,False,-1,21.8667,-1,1175,90,False
False,-1,False,False,False,-50.3333,1784-10-29 15:00,-1,False,57250,False,-1,21.55,-1,1175,90,False
False,-1,False,False,False,-52.7667,1784-10-30 16:00,4.5999999,False,57251,False,-1,21.3833,-1,1175,90,False
False,-1,False,False,False,-56.7167,1784-11-02 16:00,12.3000002,False,57252,False,-1,20.9833,-1,1175,270,False
False,-1,False,False,False,-57.9833,1784-11-03 16:00,1,False,57253,False,-1,20.4333,-1,1175,360,False
