OriginalName,Latitude,Longitude,GeocodeMatch
Paramaribo,5.87,-55.23,"Paramaribo, Suriname"
Barbados,13.1,-59.62,
St Thomas,0.32,6.72,"San Tome, West Africa"
Bombay,18.93,72.85,
Madras,13.07,80.27,"Madras, India "
St Helena,-15.93,-5.73,Jamestown
Batavia,-6.15,106.9166667,"Jakarta, Java, Indonesia"
Suriname,6,-105.2,Suriname  
Nieuwediep,52.97,4.77,Den Helder
Tafelbaai,-33.67,18,"Table Bay, South Africa"
Lissabon,38.72,-9.13,
Ternate,0.8,127.38,"Ternate, Moluccas, Indonesia"
Ambon,-3.683333333,128.1666667,"Ambon, indonesia"
Soerabaja,-7.23,112.75,"Surabaya, Java, Indonesia"
Soerabaya,-7.23,112.75,"Surabaya, Java, Indonesia"
Sourabaija,-7.23,112.75,"Surabaya, Java, Indonesia"
Ternatten,0.8,127.38,"Ternate, Moluccas, Indonesia"
Curacao,12.2,-68.933,"Willemstad, Curacao, Nederlandse Antillen"
Funchal,32.633,-16.883,
Kaapstad,-34.36666667,18.46666667,"Cape of Good Hope, South Africa"
London,51.5,-0.17,"London, England"
Carlisle Bay,13.0833,-59.6167,"Carlisle Bay, Barbados"
Halifax,44.63,-63.55,"Halifax, Nova Scotia"
Kinsale,51.6,-8.53,Old Head of Kinsale
Plymouth,50.37,-4.15,
Cape of Good Hope,-34.35,18.48,
Portsmouth,50.8,-1.08,"Portsmouth, Hants. England "
Sambvangan,6.92,122.08,"Zamboanga, mindanao, Phillippines"
Texel,53.05,4.8,"Texel, Netherlands"
Sierra Leone,8.52,-13.33,
Spithead,50.75,-1.166666667,"Spithead, Isle of Wight"
Bermuda,32,-64.68,
Charles Town,32.75,-79.8667,
Falmouth,50.133,-5.067,"Falmouth, United Kingdom"
Gibraltar,36.15,-5.35,Gibraltar
Lizard,49.93,-5.22,"Lizard, Cornwall, U.K."
New York,40.58,-73.97,
Rio de Janeiro,-22.88,-43.28,
Guayaquil,-2.2167,-79.9,"Guayaquil, Ecuador"
Hellevoetsluis,51.82,4.13,"Hellevoetsluis, Netherlands"
Straat Sunda,-6,105.9,"Sunda Strait, Indonesia"
Caap de Goede Hoop,-34.36666667,18.46666667,"Cape of Good Hope, South Africa"
Rotterdam,-6,106.72,
Brest,48.383,-4.5,
Amboina,-3.683333333,128.1666667,"Ambon, Indonesia"
Amsterdam,-37.85,77.5333,Amsterdam Island
Brouwershaven,51.733,3.917,
Kaap de Goede Hoop,-34.36666667,18.46666667,"Cape of Good Hope, South Africa"
MARAN,-2.52,-44.29,
Antigua,17.15,-61.82,"Antigua, Windward Islands, Carib."
Cadiz,36.53,-6.3,
Canton,23.12,113.23,Guangzhou (China)
Ceylon,6,80,"Genomen ongeveer Galle, Sri Lanka"
Den Helder,52.9667,4.7667,"Den Helder, The Netherlands"
Diego Garcia,-6.567,72.4,
Gamron,27.18,56.28,
Grise,-7.17,112.07,Sourabaya
Helvoetsluis,51.82,4.13,"Hellevoetsluis, Netherlands"
Macao,22,113.55,Macao
Mauritius,-20.17,57.5,
Nagasaki,32.75,129.87,"Nagasaki, Japan"
Nieuwendiep,52.97,4.77,Den Helder
Padang,-1,100.35,"Padang, Sumatra, Indonesia"
Papenberg,32.75,129.82,"Takaboko Shima, Nagasaki, Japan"
Port Louis,-20.17,57.5,"Port Louis, Mauritius"
Punto Gale,6.02,80.22,"Galle, Sri Lanka"
Riouw,0.93,104.45,Riouw
Schiedam,-5.98,106.75,
Simonsbaai,-34.35,18.5,"Cape of Good Hope, South Africa"
Singels,50.67,-1.58,"Shingles, Isle of Wight"
Tafelbaaij,-33.67,18,"Table Bay, South Africa"
Tjilatjap,-7.7333,109,"Cilacap, Java, Indonesia"
Vlissingen,51.45,3.58,"Vlissingen, Netherlands"
Zierikzee,51.65,3.92,"Zierikzee, Netherlands"
Samarang,-6.97,110.48,"Semarang, Java, Indonesia"
Cherebon Road,-6.77,108.55,"Ceribon, Java"
Bordeaux,44.8333,-0.5667,"Bordeaux, France"
Cape Town,-34.36666667,18.46666667,"Cape of Good Hope, South Africa"
Table Bay,-33.67,18,"Table Bay, South Africa"
Hampton Road,36.85,-76.32,
Bengal,22.28,87.97,
Diego Ray,-19.68,63.3,
Kedgeree,21.95,88,"Khajuri, W Bengal, India"
Unknown,0,0,
St Eustatius,7.55,-63,"Sint Eustatius, WI"
Basse Terre,16.2333,-61.5333,Basse-Terre
Fort Royal,14.6,-61.08,"Fort de France, Martinique, W.I."
Louisbourg,45.92,-59.95,Louisburg
DESCONOCIDO,0,0,Betekend onbekend
Orkney,59,-3.5,
Hartlepool,54.68,-1.22,Hartlepool
Baltimore harbour,39.28333333,-76.58333333,
Cape Fear,33.85,-77.97,
Valparaiso,-33.08,-71.67,
Porto Praya,14.92,-23.52,"Porto Praia, Cape Verdes"
Lisbon,38.72,-9.13,
Java,-7.17,105.17,
Davilican baai,17.33,122.33,"Divilacan Bay, Luzon, Philippines."
Porte Praijo,14.92,-23.52,"Porto Praia, Cape Verdes"
