OriginalName,Latitude,Longitude,GeocodeMatch,BritishRank,SpanishRank,DutchRank,FrenchRank
Paramaribo,5.87,-55.23,"Paramaribo, Suriname",0,0,80,0
Barbados,13.1,-59.62,,82,0,3,0
St Thomas,0.32,6.72,"San Tome, West Africa",11,0,4,0
Bombay,18.93,72.85,,76,0,0,0
Madras,13.07,80.27,"Madras, India ",133,0,0,0
St Helena,-15.93,-5.73,Jamestown,169,0,22,0
Batavia,-6.15,106.9166667,"Jakarta, Java, Indonesia",13,0,613,0
Suriname,6,-105.2,Suriname  ,0,0,191,0
Nieuwediep,52.97,4.77,Den Helder,0,0,154,0
Tafelbaai,-33.67,18,"Table Bay, South Africa",0,0,36,0
Lissabon,38.72,-9.13,,0,0,13,0
Ternate,0.8,127.38,"Ternate, Moluccas, Indonesia",0,0,2,0
Ambon,-3.683333333,128.1666667,"Ambon, indonesia",0,0,10,0
Soerabaja,-7.23,112.75,"Surabaya, Java, Indonesia",0,0,6,0
Soerabaya,-7.23,112.75,"Surabaya, Java, Indonesia",0,0,14,0
Sourabaija,-7.23,112.75,"Surabaya, Java, Indonesia",0,0,2,0
Ternatten,0.8,127.38,"Ternate, Moluccas, Indonesia",0,0,2,0
Curacao,12.2,-68.933,"Willemstad, Curacao, Nederlandse Antillen",0,0,191,0
Funchal,32.633,-16.883,,15,0,13,0
Kaapstad,-34.36666667,18.46666667,"Cape of Good Hope, South Africa",0,0,11,0
London,51.5,-0.17,"London, England",6,0,10,0
Carlisle Bay,13.0833,-59.6167,"Carlisle Bay, Barbados",15,0,0,0
Halifax,44.63,-63.55,"Halifax, Nova Scotia",91,0,0,0
Kinsale,51.6,-8.53,Old Head of Kinsale,6,0,0,0
Plymouth,50.37,-4.15,,140,1,12,0
Cape of Good Hope,-34.35,18.48,,30,0,0,0
Portsmouth,50.8,-1.08,"Portsmouth, Hants. England ",55,0,2,4
Sambvangan,6.92,122.08,"Zamboanga, mindanao, Phillippines",0,0,2,0
Texel,53.05,4.8,"Texel, Netherlands",1,0,138,0
Sierra Leone,8.52,-13.33,,6,0,1,0
Spithead,50.75,-1.166666667,"Spithead, Isle of Wight",346,0,0,0
Bermuda,32,-64.68,,27,0,0,0
Charles Town,32.75,-79.8667,,8,0,0,0
Falmouth,50.133,-5.067,"Falmouth, United Kingdom",24,0,7,0
Gibraltar,36.15,-5.35,Gibraltar,28,1,3,0
Lizard,49.93,-5.22,"Lizard, Cornwall, U.K.",15,0,0,0
New York,40.58,-73.97,,49,0,24,4
Rio de Janeiro,-22.88,-43.28,,25,5,73,0
Guayaquil,-2.2167,-79.9,"Guayaquil, Ecuador",0,0,2,0
Hellevoetsluis,51.82,4.13,"Hellevoetsluis, Netherlands",0,0,150,0
Straat Sunda,-6,105.9,"Sunda Strait, Indonesia",0,0,3,0
Caap de Goede Hoop,-34.36666667,18.46666667,"Cape of Good Hope, South Africa",0,0,2,0
Rotterdam,-6,106.72,,0,0,174,0
Brest,48.383,-4.5,,0,2,2,78
Amboina,-3.683333333,128.1666667,"Ambon, Indonesia",0,0,2,0
Amsterdam,-37.85,77.5333,Amsterdam Island,0,0,56,0
Brouwershaven,51.733,3.917,,0,0,17,0
Kaap de Goede Hoop,-34.36666667,18.46666667,"Cape of Good Hope, South Africa",0,0,67,0
MARAN,-2.52,-44.29,,0,0,0,0
Antigua,17.15,-61.82,"Antigua, Windward Islands, Carib.",50,0,0,0
Cadiz,36.53,-6.3,,28,36,7,0
Canton,23.12,113.23,Guangzhou (China),9,0,2,2
Ceylon,6,80,"Genomen ongeveer Galle, Sri Lanka",2,0,18,0
Den Helder,52.9667,4.7667,"Den Helder, The Netherlands",0,0,2,0
Diego Garcia,-6.567,72.4,,3,0,2,0
Gamron,27.18,56.28,,0,0,2,0
Grise,-7.17,112.07,Sourabaya,0,0,1,0
Helvoetsluis,51.82,4.13,"Hellevoetsluis, Netherlands",0,0,7,0
Macao,22,113.55,Macao,4,0,7,4
Mauritius,-20.17,57.5,,15,0,4,2
Nagasaki,32.75,129.87,"Nagasaki, Japan",0,0,6,0
Nieuwendiep,52.97,4.77,Den Helder,0,0,2,0
