EntryYear,ShipName,Text
1797,ACASTA,HMS Acasta (1797) was a 40-gun fifth rate frigate launched in 1797 and broken up in 1821.
1758,ACTIVE,HMS Active (1758) was a 28-gun sixth rate launched in 1758 and captured in 1778 by two French frigates off San Domingo.
1776,ACTIVE,HMS Active (1776) was a 14-gun brig-sloop launched in 1776 and captured in 1780 by the American privateer General Pickering off New York.
1779,ACTIVE,HMS Active (1779) was a 12-gun cutter that entered service in 1779 and surrendered that same year to the French cutter Mutin when Active encountered and was unable to escape the combined Franco-Spanish fleet in the English Channel. The French took her into service as Actif and later Activ No.1 (1782). She was paid off at Brest in December 1782 and broken up there early the next year.
1780,ACTIVE,HMS Active (1780) was a 32-gun fifth rate launched in 1780 and wrecked in 1796 on Anticosti Island at the mouth of the Saint Lawrence River.
1782,ACTIVE,HMS Active (1782) was a 14-gun brig-sloop listed in 1782.
1794,ACTIVE,"HMS Actif (1794) was a 16-gun privateer that Iphigenia captured from the French on 16 March 1794; unfortunately she foundered on 26 November, though all her crew were saved."
1799,ACTIVE,"HMS Active (1799) was a 38-gun fifth rate launched in 1799. She was placed on harbour service in 1826, renamed HMS Argo in 1833 and was broken up in 1860."
1845,ACTIVE,"HMS Active (1845) was a 36-gun fifth rate launched in 1845, becoming a training ship and being renamed HMS Tyne in 1867 and HMS Durham in 1867. She was sold in 1908."
1780,ADAMANT,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.
1780,ADAMANT,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.
1782,ADDER,HMS Adder (1782) was an 8-gun galley purchased in 1782 and sold in 1787.
1797,ADDER,HMS Adder (1797) was a 12-gun gunboat launched in 1797 and broken up in 1805.
1805,ADDER,HMS Adder (1805) was a 12-gun gun-brig launched in 1805 but captured by French forces the following year having run aground on the French coast.
1813,ADDER,HMS Adder (1813) was a 12-gun gun-brig launched in 1813 and transferred to Coastguard service in 1826. She was wrecked in 1832.
1814,ADDER,HMS Adder (1814) was a cutter launched in 1814 as HMS Seagull. She was renamed HMS Adder in 1817 and remained in service until 1825.
1826,ADDER,"HMS Adder (1826) was a wooden paddle packet ship, launched in 1826 as the GPO ship Crocodile. She was transferred to the Navy in 1837 and was sold in 1870."
1761,AFRICA,HMS Africa (1761) was a 64-gun third-rate launched in 1761 and sold in 1774.
1781,AFRICA,HMS Africa (1781) was a 64-gun third-rate launched in 1781. She fought at the Battle of Trafalgar and was broken up in 1814.
1803,AFRICA,"HMS Africa was a prison ship, launched in 1803 as the 36-gun fifth rate HMS Euryalus (1803). She became a prison ship in 1826, was renamed HMS Africa in 1859 and was sold in 1860."
1803,AFRICA,"There was also an Irish hired armed cutter Africa, of 7080/94 tons burthen (bm), in Royal Navy service from 12 December 1803 to 12 January 1810."
1801,AFRICA,"HMS Africaine was a 38-gun fifth-rate frigate, previously the French L'Africaine. She was captured in 1801 by HMS Phoebe, and was broken up in 1816."
1827,AFRICA,HMS Africaine (1827) was a 46-gun fifth-rate frigate launched in 1827. She was sold as a hulk to Trinity House in 1867 and was broken up in 1903.
1767,AJAX,HMS Ajax (1767) was a 74-gun third-rate ship of the line launched in 1767 and sold in 1785.
1798,AJAX,HMS Ajax (1798) was a 74-gun third rate launched in 1798. She fought at the Battle of Trafalgar in 1805 and was burned by accident in 1807.
1809,AJAX,HMS Ajax (1809) was a 74-gun third rate launched in 1809. She was converted to screw propulsion in 1846 and broken up in 1864.
1835,AJAX,HMS Ajax was a 78-gun third rate launched in 1835 as HMS Vanguard. She was renamed HMS Ajax in 1867 and was broken up in 1875.
1758,ALARM,"HMS Alarm (1758) was a 32-gun fifth rate frigate, launched in 1758. She was the first Royal Navy ship to have a fully copper sheathed hull. She was broken up in 1812."
1763,ALARM,HMS Alarm (1763) was a 4-gun cutter purchased in 1763 and sold in 1780.
1777,ALARM,HMS Alarm (1777) was a galley purchased in 1777 and scuttled to avoid capture in July 1778.
1799,ALARM,"HMS Alarm (1799) was a 24-gun sixth rate captured from the Dutch in 1799, and renamed Helder and then Heldin in 1800 and sold in 1802."
1832,ALARM,HMS Alarm was to be a 28-gun sixth rate laid down in 1832 and cancelled later that year.
1845,ALARM,HMS Alarm (1845) was a 28-gun sixth rate launched in 1845. She was converted into a coal hulk in 1860 and sold in 1904.
1795,ALBATROSS,HMS Albatross (1795) was a 16-gun brig-sloop launched in 1795 and sold in 1807.
1826,ALBATROSS,HMS Albatross (1826) was a survey schooner purchased in 1826 and sold in 1833.
1842,ALBATROSS,HMS Albatross (1842) was a 16-gun brig launched in 1842 and broken up in 1860.
1757,ALDERNEY,HMS Alderney (1757) was a 12-gun sloop launched in 1757 and sold in 1783.
1833,ALGIERS,"She was initially ordered from Pembroke Dockyard on 3 October 1833 as a 110-gun first rate to a design by Sir William Symonds. On 10 December 1834 the order for Algiers was changed to a 74-gun two decker, but this was changed once more to a 110-gun ship on 5 February 1839. The order was amended once more, to complete her as a 90-gun Albion-class ship of the line on 26 December 1840, and she was laid down at Plymouth Dockyard on 10 July 1843. Her designs were amended once more, and she was re-ordered on 25 April 1847 to a lengthened design. The Admiralty ordered that she be fitted with screw propulsion while under construction in 1852."
1833,ALGIERS,"She was initially ordered from Pembroke Dockyard on 3 October 1833 as a 110-gun first rate to a design by Sir William Symonds. On 10 December 1834 the order for Algiers was changed to a 74-gun two decker, but this was changed once more to a 110-gun ship on 5 February 1839. The order was amended once more, to complete her as a 90-gun Albion-class ship of the line on 26 December 1840, and she was laid down at Plymouth Dockyard on 10 July 1843. Her designs were amended once more, and she was re-ordered on 25 April 1847 to a lengthened design. The Admiralty ordered that she be fitted with screw propulsion while under construction in 1852."
1762,AMBUSCADE,"HMS Ambuscade (1746) was a 40-gun fifth rate, formerly the French ship Embuscade, captured in 1746. She fought off Cape Finisterre, captured the privateer Vainqueen and fought with Boscawen against de la Clue off Lagos. She was sold at Deptford in 1762."
1773,AMBUSCADE,"HMS Ambuscade (1773) was a 32-gun fifth rate frigate launched in 1773, captured by the French corvette Bayonnaise in the Action of 14 December 1798 and renamed Embuscade. She was recaptured by the British in 1803 and broken up in 1810."
1798,AMBUSCADE,"HMS Ambuscade was the 40-gun French frigate Embuscade, which the Royal Navy captured in 1798. She was renamed HMS Seine when the previous Ambuscade was recaptured in 1803. She was broken up in 1813."
1811,AMBUSCADE,"HMS Ambuscade was a 38-gun French frigate Pomone, which the Royal Navy captured in 1811. She was broken up in 1812."
1830,AMBUSCADE,"HMS Ambuscade was originally laid down in 1830 as a fifth rate, but was renamed HMS Amphion before finally being launched in 1846 as the first Royal Navy steam-powered frigate."
1780,AMPHION,"HMS Amphion (1780), launched in 1780, was a 32-gun fifth-rate."
1798,AMPHION,"HMS Amphion (1798), launched in 1798, was a 32-gun fifth-rate."
1846,AMPHION,"HMS Amphion (1846), launched in 1846, was a wooden-hulled screw frigate."
1778,AMPHITRITE,HMS Amphitrite (1778) was a 24-gun sixth rate launched in 1778 and wrecked in 1794.
1778,AMPHITRITE,HMS Amphitrite was a 28-gun sixth rate launched in 1778 as HMS Pomona (1778). She was renamed Amphitrite in 1795 and was broken up in 1811.
1799,AMPHITRITE,HMS Amphitrite (1799) was a 40-gun fifth rate captured from the Dutch in 1799. She was renamed Imperieuse in 1801 and was broken up in 1805.
1804,AMPHITRITE,HMS Amfitrite (1804) was a 38-gun fifth rate captured by HMS Donegal from the Spanish in 1804. She was renamed Blanche in 1805 and was wrecked in 1807.
1804,AMPHITRITE,Amphitrite (1804) was a 200 ton sailing ship built in 1804 and wrecked off the coast of France in 1833.
1816,AMPHITRITE,HMS Amphitrite (1816) was a fifth rate launched in 1816. She was lent to contractors in 1862 and was broken up in 1875.
1793,AMPHITRITE,"Hired ship Amphrite, which served the Royal Navy between 1793 and 1794."
1804,AMSTERDAM,"HMS Amsterdam (1804) was the Dutch frigate Proserpine, which the British captured in 1804 when they captured Suriname. She was sold in 1815."
1805,ANNA,HMS Anna (1805) was a 12-gun schooner tender purchased in 1805 and broken up in 1809.
1797,ANNA,HMS Anna Teresa was a gunvessel and ex-barge purchased in 1797.
1805,ANNA,HMS Anna (1805) was a 12-gun schooner tender purchased in 1805 and broken up in 1809.
1797,ANNA,HMS Anna Teresa was a gunvessel and ex-barge purchased in 1797.
1783,ANTELOPE,HMS Antelope was a 54-gun fourth rate launched in 1703. She was rebuilt in 1741 and was sold in 1783.
1784,ANTELOPE,"HMS Antelope was a 14-gun sloop purchased in 1784, and lost in a hurricane later that year."
1793,ANTELOPE,HMS Antelope was a 14-gun brig launched in 1793 and sold after 1830.
1802,ANTELOPE,"HMS Antelope was a 50-gun fourth rate launched in 1802. She was used as a troopship from 1818, was placed on harbour service from 1824 and was broken up in 1845."
1808,ANTELOPE,"HMS Antelope was a 14-gun schooner, the ex-Spanish prize Firefly. She was purchased in 1808 and broken up in 1814."
1846,ANTELOPE,HMS Antelope was an Antelope-class iron paddle sloop launched in 1846 and sold in 1883.
1781,ANTELOPE,"Antelope was a 6-gun West Indian Post Office Packet Service packet ship that was captured in 1781, 1782, and 1794."
1759,ARETHUSA,HMS Arethusa (1759) was a 32-gun fifth-rate ship captured from the French Navy in 1759 and wrecked in 1779. Its Action of 17 June 1778 is the subject of the ballad: The Saucy Arethusa.
1781,ARETHUSA,HMS Arethusa (1781) was a 38-gun fifth-rate launched in 1781 and broken up in 1814.
1793,ARETHUSA,"HMS Arethuse (1793) was a 38-gun fifth-rate captured from the French in 1793, renamed HMS Undaunted in 1795, and wrecked in 1796."
