shipName,company,rank,voyageID,captainName,nationality,rank2,toPlace,captainName2,shipType,fromPlace,voyageStart,WIkiText,CareerStart,CareerEnd,Guns
Acasta,RN,Captain,502,Philip Beaver,British,,The Downs,,5th Rate,Road Torn Tortola,1809-07-04,HMS Acasta (1797) was a 40-gun fifth rate frigate launched in 1797 and broken up in 1821.,1797-01-01,1821-01-01,40
Acasta,RN ,Captain,772,Philip Beaver,British,,Carlisle Bay Barbados,,5th rate,Cork ,1807-02-24,HMS Acasta (1797) was a 40-gun fifth rate frigate launched in 1797 and broken up in 1821.,1797-01-01,1821-01-01,40
Active,RN,,3760,,British,,cruising off Grand Banks,,6th Rate Frigat,St Johns,1777-07-07,HMS Active (1758) was a 28-gun sixth rate launched in 1758 and captured in 1778 by two French frigates off San Domingo.,1758-01-01,1778-01-01,28
Active,RN,,3761,,British,,Spithead,,6th Rate Frigat,"St Johns, Newfoundland",1777-09-07,HMS Active (1758) was a 28-gun sixth rate launched in 1758 and captured in 1778 by two French frigates off San Domingo.,1758-01-01,1778-01-01,28
Active,RN,,3762,,British,,Nova Scotia,,6th Rate Frigat,Jersey,1777-04-06,HMS Active (1758) was a 28-gun sixth rate launched in 1758 and captured in 1778 by two French frigates off San Domingo.,1758-01-01,1778-01-01,28
Active,RN,,3763,,British,,Plymouth,,6th Rate Frigat,New York,1776-11-14,HMS Active (1758) was a 28-gun sixth rate launched in 1758 and captured in 1778 by two French frigates off San Domingo.,1758-01-01,1778-01-01,28
Active,RN,Captain,3764,George Talbot,British,,Plymouth,,6th Rate Frigat,Boston,1774-05-05,HMS Active (1758) was a 28-gun sixth rate launched in 1758 and captured in 1778 by two French frigates off San Domingo.,1758-01-01,1778-01-01,28
Active,RN,Captain,3759,Charles Sidney Davies,British,1st Officer/Master,Spithead (via Fyal),Richard Davies,5th rate,Spithead,1800-07-02,"HMS Active (1799) was a 38-gun fifth rate launched in 1799. She was placed on harbour service in 1826, renamed HMS Argo in 1833 and was broken up in 1860.",1799-01-01,1860-01-01,38
Adamant,RN ,Captain,1091,William Hotham,British,,"Port Louis, Mauritius",,4th rate,Table Bay,1799-10-21,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.,1780-01-01,1814-01-01,50
Adamant,RN ,Captain,1092,William Hotham,British,,Table Bay,,4th rate,"St Marys, Madagascar",1800-01-04,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.,1780-01-01,1814-01-01,50
Adamant,RN,Captain,1093,Henry D'esteree Darby,British,,St Johns Newfoundland,,4th rate,St Pierre Bay Martinico,1795-07-21,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.,1780-01-01,1814-01-01,50
Adamant,RN,Captain,1094,Henry D'esteree Darby,British,,Lisbon,,4th rate,St Johns Newfoundland,1795-07-21,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.,1780-01-01,1814-01-01,50
Adamant,RN ,Captain,1095,William Hotham,British,,Table Bay,,4th rate,Spithead,1798-10-03,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.,1780-01-01,1814-01-01,50
Adamant,RN ,Captain,1096,William Hotham,British,,Chatham,,4th rate,Simons Bay,1801-09-17,HMS Adamant (1780) was a 50-gun fourth rate launched in 1780. She was reduced to harbour service in 1809 and was broken up in 1814.,1780-01-01,1814-01-01,50
Ajax,RN,,338,,British,,,,,,1780-10-08,HMS Ajax (1767) was a 74-gun third-rate ship of the line launched in 1767 and sold in 1785.,1767-01-01,1785-01-01,74
Alarm,RN,Captain,4501,Edward Fellowes,British,,Spithead,,5th rate,Basse Terre Roads,1797-05-22,"HMS Alarm (1758) was a 32-gun fifth rate frigate, launched in 1758. She was the first Royal Navy ship to have a fully copper sheathed hull. She was broken up in 1812.",1758-01-01,1812-01-01,32
Alarm,RN,Captain,4502,Robert Rolles,British,,Nore,,5th rate,Port Royal,1800-11-03,"HMS Alarm (1758) was a 32-gun fifth rate frigate, launched in 1758. She was the first Royal Navy ship to have a fully copper sheathed hull. She was broken up in 1812.",1758-01-01,1812-01-01,32
Alarm,RN,Captain,4503,Edward Fellowes,British,,"Carlisle Bay, Barbados",,5th rate,Spithead,1798-04-25,"HMS Alarm (1758) was a 32-gun fifth rate frigate, launched in 1758. She was the first Royal Navy ship to have a fully copper sheathed hull. She was broken up in 1812.",1758-01-01,1812-01-01,32
Alarm,RN,Captain,4504,John Jervis,British,1st Officer/Master,Spithead,William Whitmore,5th Rate,Lisbon,1772-05-04,"HMS Alarm (1758) was a 32-gun fifth rate frigate, launched in 1758. She was the first Royal Navy ship to have a fully copper sheathed hull. She was broken up in 1812.",1758-01-01,1812-01-01,32
Alarm,RN,Captain,4505,Jonathan Stott,British,1st Officer/Master,Spithead,Hugh Backie,5th Rate,Lisbon,1773-12-01,"HMS Alarm (1758) was a 32-gun fifth rate frigate, launched in 1758. She was the first Royal Navy ship to have a fully copper sheathed hull. She was broken up in 1812.",1758-01-01,1812-01-01,32
Albatross,RN,Captain,506,Charles Adams,British,,Mocha,,Brig,Spithead,1798-06-29,HMS Albatross (1795) was a 16-gun brig-sloop launched in 1795 and sold in 1807.,1795-01-01,1807-01-01,16
Albatross,RN,Captain,507,William Waller,British,1st Officer/Master,Kedgeree,John Lambert,Brig,Bombay,1800-10-18,HMS Albatross (1795) was a 16-gun brig-sloop launched in 1795 and sold in 1807.,1795-01-01,1807-01-01,16
Albatross,RN,Captain,508,Charles Malcolm,British,,Goa,,Brig,Saugor Road,1802-01-16,HMS Albatross (1795) was a 16-gun brig-sloop launched in 1795 and sold in 1807.,1795-01-01,1807-01-01,16
Albatross,RN,Captain,509,John Ball,British,,Madras,,Brig,Saugor Road,1804-07-25,HMS Albatross (1795) was a 16-gun brig-sloop launched in 1795 and sold in 1807.,1795-01-01,1807-01-01,16
Alderney,RN,Captain,4048,John Peighin,British,,Madagascar,,Sloop,Teneriffe,1761-05-30,HMS Alderney (1757) was a 12-gun sloop launched in 1757 and sold in 1783.,1757-01-01,1783-01-01,12
Alderney,RN,Captain,4049,Richard Hughes,British,,Table Bay,,Sloop,Diego Rays (Rodriques),1761-12-01,HMS Alderney (1757) was a 12-gun sloop launched in 1757 and sold in 1783.,1757-01-01,1783-01-01,12
Alderney,RN,Captain,4050,John Peighin,British,,Nagapatan,,Sloop,Madagascar,1761-07-04,HMS Alderney (1757) was a 12-gun sloop launched in 1757 and sold in 1783.,1757-01-01,1783-01-01,12
Alderney,RN,Captain,4051,Richard Hughes,British,,St Helena,,Sloop,Table Bay,1762-01-20,HMS Alderney (1757) was a 12-gun sloop launched in 1757 and sold in 1783.,1757-01-01,1783-01-01,12
Alderney,RN,Captain,4052,Richard Hughes,British,,UK,,Sloop,St Helena,1762-02-13,HMS Alderney (1757) was a 12-gun sloop launched in 1757 and sold in 1783.,1757-01-01,1783-01-01,12
Ambuscade,RN,Captain,510,Thomas Twysden,British,,Barbados,,5th Rate,Spithead,1796-05-19,"HMS Ambuscade (1773) was a 32-gun fifth rate frigate launched in 1773, captured by the French corvette Bayonnaise in the Action of 14 December 1798 and renamed Embuscade. She was recaptured by the British in 1803 and broken up in 1810.",1773-01-01,1810-01-01,32
Ambuscade,RN,Captain,511,Henry Jenkins,British,,Plymouth,,5th Rate,Port Royal Jamaica,1798-02-07,"HMS Ambuscade (1773) was a 32-gun fifth rate frigate launched in 1773, captured by the French corvette Bayonnaise in the Action of 14 December 1798 and renamed Embuscade. She was recaptured by the British in 1803 and broken up in 1810.",1773-01-01,1810-01-01,32
Ambuscade,RN,Captain,512,John Colville,British,,Barbados,,5th Rate,Cork,1801-06-07,"HMS Ambuscade (1773) was a 32-gun fifth rate frigate launched in 1773, captured by the French corvette Bayonnaise in the Action of 14 December 1798 and renamed Embuscade. She was recaptured by the British in 1803 and broken up in 1810.",1773-01-01,1810-01-01,32
Ambuscade,RN,Captain,513,John Colville,British,,Spithead,,5th Rate,Port Royal Jamaica,1801-12-21,"HMS Ambuscade (1773) was a 32-gun fifth rate frigate launched in 1773, captured by the French corvette Bayonnaise in the Action of 14 December 1798 and renamed Embuscade. She was recaptured by the British in 1803 and broken up in 1810.",1773-01-01,1810-01-01,32
Amphitrite,RN,Captain,466,John Harvey,British,,Spithead,,6th Rate,"Basse Terre Road, St Kitts",1801-06-21,HMS Amphitrite was a 28-gun sixth rate launched in 1778 as HMS Pomona (1778). She was renamed Amphitrite in 1795 and was broken up in 1811.,1778-01-01,1811-01-01,28
Amphitrite,RN,Captain,469,Charles Ekins,British,,Carlise Bay (Barbados),,6th Rate,Spithead,1797-11-13,HMS Amphitrite was a 28-gun sixth rate launched in 1778 as HMS Pomona (1778). She was renamed Amphitrite in 1795 and was broken up in 1811.,1778-01-01,1811-01-01,28
Antelope,RN,Captain,4459,George Gayton,British,,St John's Harbour Newfoundland,,4th Rate,Spithead,1770-05-21,HMS Antelope was a 54-gun fourth rate launched in 1703. She was rebuilt in 1741 and was sold in 1783.,1703-01-01,1783-01-01,54
Antelope,RN,Captain,4460,George Gayton,British,,Spithead,,4th Rate,St John's Harbour Newfoundland,1770-11-01,HMS Antelope was a 54-gun fourth rate launched in 1703. She was rebuilt in 1741 and was sold in 1783.,1703-01-01,1783-01-01,54
Arethusa,RN,Captain,4667,Digby Dent,British,,Madeira,,5th Rate,Torbay,1776-03-02,HMS Arethusa (1759) was a 32-gun fifth-rate ship captured from the French Navy in 1759 and wrecked in 1779. Its Action of 17 June 1778 is the subject of the ballad: The Saucy Arethusa.,1759-01-01,1779-01-01,32
Arethusa,RN,Captain,4668,Digby Dent,British,,Porta Praya,,5th Rate,Madeira,1776-03-24,HMS Arethusa (1759) was a 32-gun fifth-rate ship captured from the French Navy in 1759 and wrecked in 1779. Its Action of 17 June 1778 is the subject of the ballad: The Saucy Arethusa.,1759-01-01,1779-01-01,32
Arethusa,RN,Captain,4669,Digby Dent,British,,Ascension,,5th Rate,Porta Praya,1776-04-02,HMS Arethusa (1759) was a 32-gun fifth-rate ship captured from the French Navy in 1759 and wrecked in 1779. Its Action of 17 June 1778 is the subject of the ballad: The Saucy Arethusa.,1759-01-01,1779-01-01,32
Arethusa,RN,Captain,4670,Digby Dent,British,,St Helena,,5th Rate,Ascension,1776-05-08,HMS Arethusa (1759) was a 32-gun fifth-rate ship captured from the French Navy in 1759 and wrecked in 1779. Its Action of 17 June 1778 is the subject of the ballad: The Saucy Arethusa.,1759-01-01,1779-01-01,32
Arethusa,RN,Captain,4671,Digby Dent,British,,UK,,5th Rate,St Helena,1776-06-14,HMS Arethusa (1759) was a 32-gun fifth-rate ship captured from the French Navy in 1759 and wrecked in 1779. Its Action of 17 June 1778 is the subject of the ballad: The Saucy Arethusa.,1759-01-01,1779-01-01,32
Argo,RN,Captain,4072,John Bladen Tinker,British,1st Officer/Master,Cape of Good Hope,James Reid,6th Rate,Madeira,1762-03-18,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4073,John Bladen Tinker,British,1st Officer/Master,Mallacca,James Reid,6th Rate,Manilla,1763-03-03,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4074,Philip Affleck,British,1st Officer/Master,Port Louis,Henry Chads,6th Rate,Madras,1766-04-05,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
