voyageID,captainName,rank,fromPlace,toPlace,voyageStartDate,nationality,shipName,shipType,companyName
17580,,,,,1777-12-26,Spanish,DESCONOCIDO-03,FRAGATA,
17581,Sir John Hamilton ,Captain,,,1780-10-05,British,Hector,,RN
17582,MR. LOTHE,CAPITAN,,,1818-02-13,Spanish,DESCONOCIDO-11,PAQUEBOTE,
17583,,,,,1836-04-09,French,La Cassares,Brick,
17584,,,,,1836-08-08,French,La Cassares,Brick,
17585,,,,,1837-01-01,French,La Cassares,Brick,
17586,,,,,1837-05-28,French,La Cassares,Brick,
17587,,,,,1837-07-25,French,La Cassares,Brick,
17588,,,,,1837-07-26,French,Inconnu-2,,
17589,,,,,1837-11-08,French,La Cassares,Brick,
17590,Basil Hall,Captain,Acapulco,St Blas,1822-03-13,British,Conway,6th rate,RN
17591,Pieter Jacob Gervais,Kapitein,Acara,Paramaribo,1787-10-03,Dutch,Thetis,5th Rate,ADM
17592,John Scaife,Captain,Accra,Barbados,1760-02-16,British,Chesterfield,5th Rate,RN
17593,,,Accrah,Southsea,1751-05-13,British,Surprise,,RN
17594,Thomas Hankenson,Captain,Accraw,St Thomas,1752-12-25,British,Badger,Snow,RN
17595,Thomas Hankenson,Captain,Accraw,UK,1752-02-21,British,Badger,Snow,RN
17596,Samuel Hood Linzee,Captain,Achean,Simons Bay,1798-07-25,British,LOiseau,5th rate,RN
17597,Gearoge Davies,Captain,Achean Head,Bombay,1808-06-26,British,Saphire,,RN
17598,Thomas Butler,Captain,"Achean Head, Sumatra",Motherbank,1795-05-23,British,Walpole,,EIC
17599,Walter Bathurst,Captain,Acheen,Madras,1802-06-10,British,Terpsichore,5th rate,RN
17600,James Tweedale,Captain,"Acheen Head, Sumatra",St Helena,1807-07-13,British,Perseverence,,EIC
17601,Thomas Baddison,Captain,Acheen (Sumatra),St Helena,1762-01-30,British,Princess Augusta,,EIC
17602,John Bladen Tinker,Captain,Achin Road,Madras,1763-04-19,British,Argo,5th rate,RN
17603,F. Schut,Kapitein,Adelaide,Batavia,1853-02-13,Dutch,Walvisch,,
17604,,,Afrika,Middelburg,1759-05-12,Dutch,Mercurius,,MER
17605,,,Afrika,Suriname,1753-11-25,Dutch,Middelburgs Welvaren,,MCC
